,Name,Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Sales_sum
204,Adidas Power Soccer,PS,1996,Sports,0.02,0.01,0.0,0.0,0.03
205,Adidas Power Soccer 98,PS,1998,Sports,0.01,0.01,0.0,0.0,0.02
206,Adrenalin Misfits,X360,2010,Racing,0.12,0.02,0.0,0.01,0.15
207,Advance Guardian Heroes,GBA,2004,Role-Playing,0.03,0.01,0.0,0.0,0.04
208,Advance Wars,GBA,2001,Strategy,0.5,0.19,0.0,0.01,0.7
209,Advance Wars 2: Black Hole Rising,GBA,2003,Strategy,0.47,0.17,0.0,0.01,0.65
210,Advance Wars: Dual Strike,DS,2005,Strategy,0.3,0.03,0.04,0.03,0.3999999999999999
211,Advent Rising,XB,2005,Action,0.1,0.03,0.0,0.0,0.13
212,Adventure Time: Explore the Dungeon Because I Don't Know!,3DS,2013,Action,0.1,0.03,0.0,0.01,0.14
213,Adventure Time: Explore the Dungeon Because I Don't Know!,PS3,2013,Action,0.02,0.02,0.0,0.01,0.05
214,Adventure Time: Explore the Dungeon Because I Don't Know!,WiiU,2013,Action,0.02,0.01,0.0,0.0,0.03
215,Adventure Time: Explore the Dungeon Because I Don't Know!,X360,2013,Action,0.03,0.04,0.0,0.01,0.08
216,Adventure Time: Finn & Jake Investigations,3DS,2015,Action,0.02,0.05,0.0,0.01,0.08
217,Adventure Time: Finn & Jake Investigations,PS3,2015,Action,0.02,0.07,0.0,0.02,0.11000000000000001
218,Adventure Time: Finn & Jake Investigations,PS4,2015,Action,0.03,0.04,0.0,0.01,0.08
219,Adventure Time: Finn & Jake Investigations,WiiU,2015,Action,0.03,0.02,0.0,0.0,0.05
220,Adventure Time: Finn & Jake Investigations,X360,2015,Action,0.02,0.06,0.0,0.01,0.09
221,Adventure Time: Finn & Jake Investigations,XOne,2015,Action,0.02,0.02,0.0,0.0,0.04
222,Adventure Time: The Secret of the Nameless,3DS,2014,Adventure,0.01,0.0,0.0,0.0,0.01
223,Adventure Time: The Secret of the Nameless,X360,2014,Adventure,0.01,0.0,0.0,0.0,0.01
224,Adventure Time: The Secret of the Nameless Kingdom,3DS,2014,Action,0.0,0.07,0.0,0.0,0.07
225,Adventure Time: The Secret of the Nameless Kingdom,X360,2014,Action,0.0,0.08,0.0,0.01,0.09
226,Adventures of Lolo,NES,1989,Puzzle,0.06,0.0,0.0,0.0,0.06
227,Adventures of Tron,2600,1981,Action,0.63,0.03,0.0,0.01,0.67
228,Adventures to Go!,PSP,2008,Role-Playing,0.1,0.0,0.01,0.01,0.12
229,Aedis Eclipse: Generation of Chaos,PSP,2006,Role-Playing,0.02,0.0,0.0,0.0,0.02
230,Aegis of Earth: Protonovus Assault,PS3,2016,Action,0.01,0.01,0.0,0.0,0.02
231,Aegis of Earth: Protonovus Assault,PS4,2016,Action,0.02,0.0,0.0,0.0,0.02
232,Aegis of Earth: Protonovus Assault,PSV,2016,Action,0.02,0.01,0.0,0.01,0.04
233,Aeon Flux,PS2,2005,Action,0.02,0.02,0.0,0.01,0.05
234,Aeon Flux,XB,2005,Action,0.01,0.0,0.0,0.0,0.01
235,Aero Elite: Combat Academy,PS2,2002,Simulation,0.04,0.03,0.0,0.01,0.08
236,Aero Gauge,N64,1997,Racing,0.06,0.01,0.0,0.0,0.06999999999999999
237,Afrika,PS3,2008,Adventure,0.12,0.0,0.08,0.01,0.21000000000000002
238,Afro Samurai,PS3,2009,Action,0.12,0.05,0.0,0.03,0.19999999999999998
239,Afro Samurai,X360,2009,Action,0.16,0.05,0.0,0.02,0.23
240,After Hours Athletes,PS3,2011,Sports,0.0,0.1,0.0,0.03,0.13
241,Again,DS,2009,Adventure,0.07,0.0,0.0,0.0,0.07
242,Agassi Tennis Generation,PS2,2003,Sports,0.04,0.03,0.0,0.01,0.08
243,Agatha Christie's The ABC Murders,PS4,2016,Adventure,0.01,0.01,0.0,0.0,0.02
244,Agatha Christie: And Then There Were None,Wii,2008,Adventure,0.06,0.01,0.0,0.01,0.07999999999999999
245,Agatha Christie: Death on the Nile,PC,2008,Adventure,0.0,0.01,0.0,0.0,0.01
246,Agatha Christie: Evil Under the Sun,Wii,2008,Adventure,0.07,0.02,0.0,0.01,0.1
247,Agatha Christie: Peril at End House,PC,2009,Adventure,0.0,0.01,0.0,0.0,0.01
248,Agatha Christie: The ABC Murders,DS,2009,Adventure,0.08,0.01,0.0,0.01,0.09999999999999999
249,Agatha Christie: The ABC Murders,PC,2016,Adventure,0.0,0.02,0.0,0.0,0.02
250,Age of Conan: Rise of the Godslayer,PC,2010,Role-Playing,0.0,0.02,0.0,0.0,0.02
251,Age of Empires II: The Age of Kings,PC,1999,Strategy,0.01,0.08,0.0,0.02,0.11
252,Age of Empires III,PC,2005,Strategy,0.0,0.32,0.0,0.07,0.39
253,Age of Empires III: Gold Edition,PC,2007,Strategy,0.0,0.02,0.0,0.01,0.03
254,Age of Empires III: The Asian Dynasties,PC,2007,Strategy,0.0,0.05,0.0,0.01,0.060000000000000005
255,Age of Empires Online,PC,2011,Strategy,0.01,0.04,0.0,0.01,0.060000000000000005
256,Age of Empires: Collector's Edition,PC,2000,Strategy,0.02,0.1,0.0,0.02,0.14
257,Age of Empires: Mythologies,DS,2008,Strategy,0.17,0.03,0.0,0.02,0.22
258,Age of Empires: The Age of Kings,DS,2006,Strategy,0.19,0.02,0.0,0.02,0.22999999999999998
259,Age of Mythology,PC,2002,Strategy,0.02,0.06,0.0,0.01,0.09
260,Age of Mythology: The Titans,PC,2003,Strategy,0.01,0.02,0.0,0.0,0.03
261,Aggressive Inline,GC,2002,Sports,0.04,0.01,0.0,0.0,0.05
262,Aggressive Inline,PS2,2002,Sports,0.17,0.13,0.0,0.04,0.34
263,Aggressive Inline,XB,2002,Sports,0.05,0.01,0.0,0.0,0.060000000000000005
264,Agile Warrior F-111X,PS,1995,Simulation,0.08,0.05,0.0,0.01,0.14
265,Aibou DS,DS,2009,Adventure,0.0,0.0,0.08,0.0,0.08
266,Aidyn Chronicles: The First Mage,N64,2001,Role-Playing,0.08,0.02,0.0,0.0,0.1
267,Aikatsu! 2-nin no My Princess,3DS,2013,Action,0.0,0.0,0.26,0.0,0.26
268,Aikatsu! 365 Idol Days,3DS,2014,Adventure,0.0,0.0,0.13,0.0,0.13
269,Aikatsu! Cinderella Lesson,3DS,2012,Role-Playing,0.0,0.0,0.2,0.0,0.2
270,Aikatsu! My No.1 Stage!,3DS,2015,Misc,0.0,0.0,0.07,0.0,0.07
271,Ailu de Puzzle,PSP,2012,Action,0.0,0.0,0.04,0.0,0.04
272,Air Combat,PS,1995,Simulation,0.92,0.33,0.52,0.05,1.82
273,Air Conflicts: Aces of World War II,PSP,2009,Simulation,0.05,0.0,0.0,0.0,0.05
274,Air Conflicts: Secret Wars,PC,2011,Simulation,0.0,0.02,0.0,0.01,0.03
275,Air Conflicts: Secret Wars,PS3,2011,Simulation,0.1,0.06,0.0,0.03,0.19
276,Air Conflicts: Secret Wars,X360,2011,Simulation,0.06,0.02,0.0,0.01,0.09
277,Air Raid,2600,1981,Action,0.72,0.04,0.0,0.01,0.77
278,Air Traffic Chaos,DS,2007,Simulation,0.05,0.0,0.0,0.0,0.05
279,AirForce Delta Storm,GBA,2002,Shooter,0.02,0.01,0.0,0.0,0.03
280,AirForce Delta Storm,XB,2001,Shooter,0.14,0.04,0.0,0.01,0.19000000000000003
281,AirForce Delta Strike,PS2,2004,Simulation,0.05,0.04,0.0,0.01,0.09999999999999999
282,Airblade,PS2,2001,Sports,0.11,0.09,0.0,0.03,0.23
283,Airborne Troops: Countdown to D-Day,PS2,2005,Shooter,0.06,0.05,0.0,0.02,0.13
284,Airline Tycoon,PC,2000,Simulation,0.0,0.01,0.0,0.0,0.01
285,Airline Tycoon 2,PC,2011,Simulation,0.0,0.04,0.0,0.01,0.05
286,Airlock,2600,1981,Action,0.36,0.02,0.0,0.0,0.38
