,Name,Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales
37,12-Sai. Koisuru Diary,3DS,2016,Adventure,0.0,0.0,0.04,0.0
38,12Riven: The Psi-Climinal of Integral,PS2,2008,Adventure,0.0,0.0,0.04,0.0
39,15 Days,PC,2009,Adventure,0.0,0.01,0.0,0.0
40,1701 A.D.,PC,2006,Simulation,0.0,0.25,0.0,0.05
41,18 Wheeler: American Pro Trucker,GC,2002,Racing,0.09,0.02,0.0,0.0
42,18 Wheeler: American Pro Trucker,PS2,2001,Racing,0.2,0.15,0.0,0.05
43,18 Wheels of Steel: Extreme Trucker,PC,2009,Racing,0.0,0.02,0.0,0.0
44,18 Wheels of Steel: Extreme Trucker 2,PC,2011,Racing,0.08,0.02,0.0,0.01
45,187: Ride or Die,PS2,2005,Racing,0.07,0.06,0.0,0.02
46,187: Ride or Die,XB,2005,Racing,0.05,0.01,0.0,0.0
47,1942,NES,1985,Shooter,0.65,0.14,0.21,0.0
48,2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,GBA,2005,Racing,0.09,0.03,0.0,0.0
49,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007,Action,1.26,0.47,0.0,0.03
50,2 Games in 1: Disney Princess & The Lion King,GBA,2004,Misc,1.25,0.46,0.0,0.03
51,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,2005,Action,0.22,0.08,0.0,0.01
52,2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005,Misc,1.31,0.49,0.0,0.03
53,2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,2005,Misc,0.44,0.16,0.0,0.01
54,2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,2005,Misc,0.04,0.02,0.0,0.0
55,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,2005,Platform,0.33,0.12,0.0,0.01
56,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,X360,2013,Misc,0.09,0.01,0.0,0.01
57,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,2004,Misc,0.4,0.11,0.0,0.02
58,2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,2005,Platform,0.06,0.02,0.0,0.0
59,2002 FIFA World Cup,GC,2002,Sports,0.04,0.01,0.0,0.0
60,2002 FIFA World Cup,PS2,2002,Sports,0.21,0.17,0.16,0.06
61,2002 FIFA World Cup,XB,2002,Sports,0.14,0.04,0.0,0.01
62,2010 FIFA World Cup South Africa,PS3,2010,Sports,0.3,0.64,0.07,0.22
63,2010 FIFA World Cup South Africa,PSP,2010,Sports,0.09,0.24,0.03,0.12
64,2010 FIFA World Cup South Africa,Wii,2010,Sports,0.23,0.15,0.01,0.04
65,2010 FIFA World Cup South Africa,X360,2010,Sports,0.32,0.43,0.02,0.09
66,2014 FIFA World Cup Brazil,PS3,2014,Sports,0.15,0.39,0.01,0.16
67,2014 FIFA World Cup Brazil,X360,2014,Sports,0.14,0.28,0.0,0.04
68,24: The Game,PS2,2006,Adventure,0.15,0.12,0.0,0.04
69,25 to Life,PS2,2006,Shooter,0.35,0.01,0.0,0.06
70,25 to Life,XB,2006,Shooter,0.12,0.04,0.0,0.01
71,2Xtreme,PS,1996,Sports,1.15,0.2,0.0,0.05
72,"3 in 1: Solitaire, Mahjong & Tangram",DS,2010,Misc,0.0,0.07,0.0,0.01
73,300: March to Glory,PSP,2007,Action,0.27,0.08,0.0,0.06
74,3D Dot Game Heroes,PS3,2009,Role-Playing,0.36,0.12,0.03,0.07
75,3D Lemmings,PS,1995,Puzzle,0.03,0.02,0.0,0.0
76,3D Tank Warfare Simulator Panzer Front,PS,1999,Simulation,0.06,0.04,0.0,0.01
77,3DS Classic Collection,3DS,2016,Misc,0.02,0.0,0.0,0.0
78,3Xtreme,PS,1999,Action,0.5,0.34,0.0,0.06
79,3rd Super Robot Wars Z Jigoku Hen,PS3,2014,Role-Playing,0.0,0.0,0.23,0.0
80,3rd Super Robot Wars Z Jigoku Hen,PSV,2014,Role-Playing,0.0,0.0,0.19,0.0
81,3rd Super Robot Wars Z: Tengoku-Hen,PS3,2015,Action,0.0,0.0,0.15,0.0
82,3rd Super Robot Wars Z: Tengoku-Hen,PSV,2015,Action,0.0,0.0,0.19,0.0
83,4 Elements,PC,2009,Puzzle,0.0,0.04,0.0,0.01
84,4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,DS,2005,Misc,0.11,0.0,0.0,0.01
85,4 Nin uchi Mahjong,NES,1984,Misc,0.0,0.0,1.45,0.0
86,40 Winks,PS,1999,Platform,0.17,0.12,0.0,0.02
87,428: Fuusa Sareta Shibuya de,PS3,2009,Adventure,0.0,0.0,0.02,0.0
88,428: Fuusa Sareta Shibuya de,PSP,2009,Adventure,0.0,0.0,0.04,0.0
89,428: Fuusa Sareta Shibuya de,Wii,2008,Adventure,0.0,0.0,0.13,0.0
90,4x4 EVO 2,GC,2002,Racing,0.11,0.03,0.0,0.0
91,4x4 EVO 2,XB,2001,Racing,0.18,0.05,0.0,0.01
92,4x4 Evolution,PS2,2001,Racing,0.16,0.12,0.0,0.04
93,50 Cent: Blood on the Sand,PS3,2009,Shooter,0.1,0.06,0.01,0.03
94,50 Cent: Blood on the Sand,X360,2009,Shooter,0.12,0.07,0.0,0.02
95,50 Cent: Bulletproof,PS2,2005,Action,0.85,0.76,0.0,0.16
96,50 Cent: Bulletproof,PSP,2006,Action,0.08,0.0,0.0,0.01
97,50 Cent: Bulletproof,XB,2005,Action,0.33,0.1,0.0,0.02
98,50 Classic Games,3DS,2012,Misc,0.0,0.02,0.0,0.0
99,50 Classic Games,DS,2009,Misc,0.52,0.0,0.0,0.04
100,64 de Hakken! Tamagotchi Minna de Tamagotchi World,N64,1997,Misc,0.0,0.0,0.22,0.0
101,7 Days to Die,PS4,2016,Action,0.03,0.07,0.0,0.02
102,7 Days to Die,XOne,2016,Action,0.02,0.02,0.0,0.0
103,7 Roses: A Darkness Rises,PC,2015,Misc,0.0,0.02,0.0,0.0
104,7 Wonders II,DS,2009,Puzzle,0.14,0.15,0.0,0.03
105,7 Wonders of the Ancient World,DS,2007,Puzzle,0.1,0.01,0.0,0.01
106,7 Wonders of the Ancient World,PSP,2007,Puzzle,0.07,0.0,0.0,0.01
107,7 Wonders: Treasures of Seven,DS,2011,Puzzle,0.02,0.03,0.0,0.01
108,7th Dragon,DS,2009,Role-Playing,0.0,0.0,0.14,0.0
109,7th Dragon 2020,PSP,2011,Role-Playing,0.0,0.0,0.2,0.0
110,7th Dragon 2020-II,PSP,2013,Role-Playing,0.0,0.0,0.13,0.0
111,7th Dragon III Code: VFD,3DS,2015,Role-Playing,0.03,0.0,0.12,0.0
112,99 no Namida,DS,2008,Adventure,0.0,0.0,0.04,0.0
113,"999: Nine Hours, Nine Persons, Nine Doors",DS,2009,Adventure,0.37,0.0,0.03,0.03
114,A Boy and His Blob,Wii,2009,Platform,0.19,0.02,0.0,0.02
115,A Bug's Life,N64,1998,Platform,0.49,0.13,0.0,0.01
116,A Bug's Life,PS,1998,Platform,1.96,0.72,0.0,0.11
117,A Collection of Activision Classic Games for the Atari 2600,PS,1998,Misc,0.76,0.52,0.0,0.09
118,A Collection of Classic Games from the Intellivision,PS,1999,Misc,0.17,0.12,0.0,0.02
119,A Game of Thrones: Genesis,PC,2011,Strategy,0.0,0.03,0.0,0.01
120,A Good Librarian Like a Good Shepherd: Library Party,PSV,2015,Action,0.0,0.0,0.03,0.0
121,A New Beginning,PC,2010,Adventure,0.0,0.05,0.0,0.01
122,A Ressha de Gyoukou 2001,PS2,2001,Simulation,0.0,0.0,0.03,0.0
123,A Ressha de Ikou DS,DS,2009,Simulation,0.0,0.0,0.04,0.0
124,A Vampyre Story,PC,2008,Adventure,0.0,0.01,0.0,0.0
125,A Witch's Tale,DS,2009,Role-Playing,0.08,0.0,0.03,0.01
126,A llI S.V.: A Ressha de Gyoukou 3 Super Version,SNES,1995,Simulation,0.0,0.0,0.06,0.0
127,A-Train,PS,1995,Simulation,0.02,0.01,0.04,0.01
128,A-Train 6,PS2,2000,Strategy,0.0,0.0,0.06,0.0
129,A-Train: City Simulator,3DS,2014,Simulation,0.0,0.0,0.06,0.0
130,A. IV Evolution: A Ressha de Ikou 4,PS,1994,Strategy,0.0,0.0,0.24,0.02
131,A.C.E.: Another Century's Episode,PS2,2005,Simulation,0.0,0.0,0.26,0.0
132,A.C.E.: Another Century's Episode 2,PS2,2006,Simulation,0.0,0.0,0.18,0.0
133,A.C.E.: Another Century's Episode 3: The Final,PS2,2007,Simulation,0.0,0.0,0.26,0.0
134,A.C.E.: Another Century's Episode Portable,PSP,2011,Simulation,0.0,0.0,0.12,0.0
135,A.C.E.: Another Century's Episode R,PS3,2010,Simulation,0.0,0.0,0.26,0.0
136,ABBA: You Can Dance,Wii,2011,Misc,0.19,0.5,0.0,0.11
137,AC/DC LIVE: Rock Band Track Pack,PS2,2008,Misc,0.08,0.06,0.0,0.02
138,AC/DC LIVE: Rock Band Track Pack,PS3,2008,Misc,0.21,0.01,0.0,0.02
139,AC/DC LIVE: Rock Band Track Pack,Wii,2008,Misc,0.25,0.0,0.0,0.02
140,AC/DC LIVE: Rock Band Track Pack,X360,2008,Misc,0.21,0.0,0.0,0.02
141,AIR,PSP,2007,Adventure,0.0,0.0,0.02,0.0
142,AKB1/149: Love Election,PS3,2013,Adventure,0.0,0.0,0.08,0.0
143,AKB1/149: Love Election,PSP,2012,Adventure,0.0,0.0,0.23,0.0
144,AKB1/149: Love Election,PSV,2012,Adventure,0.0,0.0,0.07,0.0
145,AKB1/48: Idol to Guam de Koishitara...,PSP,2011,Misc,0.0,0.0,0.4,0.0
146,AKB1/48: Idol to Koishitara...,PSP,2010,Misc,0.0,0.0,0.41,0.0
147,AKB48+Me,3DS,2012,Action,0.0,0.0,0.11,0.0
148,AMF Bowling 2004,XB,2003,Sports,0.22,0.06,0.0,0.01
149,AMF Bowling Pinbusters!,DS,2008,Sports,0.06,0.0,0.0,0.0
150,AMF Bowling Pinbusters!,Wii,2007,Sports,0.85,0.0,0.0,0.07
151,AMF Bowling World Lanes,Wii,2008,Sports,0.33,0.0,0.0,0.03
152,AMF Xtreme Bowling,PS2,2006,Sports,0.01,0.01,0.0,0.0
153,AMNESIA World,PSV,2014,Adventure,0.0,0.0,0.03,0.0
154,APB Reloaded,PC,2011,Role-Playing,0.02,0.01,0.0,0.0
155,ASH: Archaic Sealed Heat,DS,2007,Role-Playing,0.0,0.0,0.12,0.0
156,ATV Offroad Fury,PS2,2001,Racing,2.07,0.26,0.0,0.08
157,ATV Offroad Fury 2,PS2,2002,Racing,1.92,0.2,0.0,0.06
158,ATV Offroad Fury 3,PS2,2004,Racing,1.0,0.04,0.0,0.16
159,ATV Offroad Fury Pro,PSP,2006,Racing,0.37,0.04,0.0,0.05
160,ATV Offroad Fury: Blazin' Trails,PSP,2005,Racing,0.53,0.0,0.0,0.04
161,ATV Quad Kings,DS,2010,Racing,0.1,0.0,0.0,0.01
162,ATV Quad Kings,Wii,2009,Racing,0.21,0.0,0.0,0.01
163,ATV Quad Power Racing 2,GC,2003,Racing,0.22,0.06,0.0,0.01
164,ATV Quad Power Racing 2,PS2,2003,Racing,0.41,0.32,0.0,0.11
165,ATV Quad Power Racing 2,XB,2003,Racing,0.36,0.07,0.0,0.01
166,ATV/Monster Truck Mayhem,DS,2007,Racing,0.33,0.0,0.0,0.02
167,ATV: Quad Frenzy,DS,2005,Racing,0.1,0.0,0.0,0.01
168,ATV: Quad Power Racing,GBA,2002,Racing,0.18,0.07,0.0,0.0
169,ATV: Quad Power Racing,PS,2000,Racing,0.58,0.39,0.0,0.07
170,Aa Megami-samaa,PS2,2007,Adventure,0.0,0.0,0.01,0.0
171,Abunai: Koi no Sousa Shitsu,PSP,2012,Action,0.0,0.0,0.01,0.0
172,Abunai: Koi no Sousa Shitsu,PSV,2015,Action,0.0,0.0,0.02,0.0
173,Academy of Champions: Soccer,Wii,2009,Sports,0.1,0.02,0.0,0.01
174,Accel World: Ginyoku no Kakusei,PS3,2012,Adventure,0.0,0.0,0.03,0.0
175,Accel World: Ginyoku no Kakusei,PSP,2012,Adventure,0.0,0.0,0.03,0.0
176,Accel World: Kasoku no Chouten,PS3,2013,Adventure,0.0,0.0,0.02,0.0
177,Accel World: Kasoku no Chouten,PSP,2013,Adventure,0.0,0.0,0.01,0.0
178,Ace Attorney 6,3DS,2016,Adventure,0.0,0.0,0.27,0.0
179,Ace Attorney Investigations 2,DS,2011,Adventure,0.0,0.0,0.26,0.0
180,Ace Attorney Investigations: Miles Edgeworth,DS,2009,Adventure,0.27,0.15,0.3,0.04
181,Ace Combat 04: Shattered Skies,PS2,2001,Simulation,2.06,0.56,0.38,0.17
182,Ace Combat 2,PS,1997,Simulation,0.16,0.11,0.56,0.06
183,Ace Combat 3: Electrosphere,PS,1999,Simulation,0.22,0.15,0.4,0.05
184,Ace Combat 5: The Unsung War,PS2,2004,Simulation,0.88,0.34,0.32,0.18
185,Ace Combat 6: Fires of Liberation,X360,2007,Simulation,0.69,0.04,0.22,0.06
186,Ace Combat X: Skies of Deception,PSP,2006,Simulation,0.37,0.31,0.12,0.19
187,Ace Combat Zero: The Belkan War,PS2,2006,Simulation,0.15,0.12,0.2,0.04
188,Ace Combat: Assault Horizon,PS3,2011,Action,0.3,0.16,0.22,0.07
189,Ace Combat: Assault Horizon,X360,2011,Action,0.3,0.12,0.03,0.04
190,Ace Combat: Joint Assault,PSP,2010,Simulation,0.06,0.05,0.15,0.03
191,Achtung Panzer: Kharkov 1943,PC,2010,Strategy,0.0,0.01,0.0,0.0
192,Act of Aggression,PC,2015,Strategy,0.0,0.01,0.0,0.0
193,Action Bass,PS,2000,Action,0.64,0.43,0.0,0.07
194,Action Force,2600,1982,Action,0.5,0.03,0.0,0.01
195,Active Health with Carol Vorderman,DS,2009,Sports,0.0,0.18,0.0,0.01
196,Active Life Explorer,Wii,2010,Sports,0.14,0.0,0.0,0.01
197,Active Life: Extreme Challenge,Wii,2009,Sports,0.15,0.27,0.0,0.06
198,Active Life: Magical Carnival,Wii,2011,Misc,0.04,0.01,0.0,0.0
199,Active Life: Outdoor Challenge,Wii,2008,Sports,0.79,0.44,0.19,0.14
200,Activision Anthology,GBA,2003,Misc,0.03,0.01,0.0,0.0
201,Activision Anthology,PS2,2002,Misc,0.25,0.19,0.0,0.06
202,Activision Hits: Remixed,PSP,2006,Misc,0.05,0.0,0.0,0.0
203,Actua Tennis,PS,1997,Sports,0.07,0.05,0.0,0.01
204,Adidas Power Soccer,PS,1996,Sports,0.02,0.01,0.0,0.0
205,Adidas Power Soccer 98,PS,1998,Sports,0.01,0.01,0.0,0.0
206,Adrenalin Misfits,X360,2010,Racing,0.12,0.02,0.0,0.01
207,Advance Guardian Heroes,GBA,2004,Role-Playing,0.03,0.01,0.0,0.0
208,Advance Wars,GBA,2001,Strategy,0.5,0.19,0.0,0.01
209,Advance Wars 2: Black Hole Rising,GBA,2003,Strategy,0.47,0.17,0.0,0.01
210,Advance Wars: Dual Strike,DS,2005,Strategy,0.3,0.03,0.04,0.03
211,Advent Rising,XB,2005,Action,0.1,0.03,0.0,0.0
212,Adventure Time: Explore the Dungeon Because I Don't Know!,3DS,2013,Action,0.1,0.03,0.0,0.01
213,Adventure Time: Explore the Dungeon Because I Don't Know!,PS3,2013,Action,0.02,0.02,0.0,0.01
214,Adventure Time: Explore the Dungeon Because I Don't Know!,WiiU,2013,Action,0.02,0.01,0.0,0.0
215,Adventure Time: Explore the Dungeon Because I Don't Know!,X360,2013,Action,0.03,0.04,0.0,0.01
216,Adventure Time: Finn & Jake Investigations,3DS,2015,Action,0.02,0.05,0.0,0.01
217,Adventure Time: Finn & Jake Investigations,PS3,2015,Action,0.02,0.07,0.0,0.02
218,Adventure Time: Finn & Jake Investigations,PS4,2015,Action,0.03,0.04,0.0,0.01
219,Adventure Time: Finn & Jake Investigations,WiiU,2015,Action,0.03,0.02,0.0,0.0
220,Adventure Time: Finn & Jake Investigations,X360,2015,Action,0.02,0.06,0.0,0.01
221,Adventure Time: Finn & Jake Investigations,XOne,2015,Action,0.02,0.02,0.0,0.0
222,Adventure Time: The Secret of the Nameless,3DS,2014,Adventure,0.01,0.0,0.0,0.0
223,Adventure Time: The Secret of the Nameless,X360,2014,Adventure,0.01,0.0,0.0,0.0
224,Adventure Time: The Secret of the Nameless Kingdom,3DS,2014,Action,0.0,0.07,0.0,0.0
225,Adventure Time: The Secret of the Nameless Kingdom,X360,2014,Action,0.0,0.08,0.0,0.01
226,Adventures of Lolo,NES,1989,Puzzle,0.06,0.0,0.0,0.0
227,Adventures of Tron,2600,1981,Action,0.63,0.03,0.0,0.01
228,Adventures to Go!,PSP,2008,Role-Playing,0.1,0.0,0.01,0.01
229,Aedis Eclipse: Generation of Chaos,PSP,2006,Role-Playing,0.02,0.0,0.0,0.0
230,Aegis of Earth: Protonovus Assault,PS3,2016,Action,0.01,0.01,0.0,0.0
231,Aegis of Earth: Protonovus Assault,PS4,2016,Action,0.02,0.0,0.0,0.0
232,Aegis of Earth: Protonovus Assault,PSV,2016,Action,0.02,0.01,0.0,0.01
233,Aeon Flux,PS2,2005,Action,0.02,0.02,0.0,0.01
234,Aeon Flux,XB,2005,Action,0.01,0.0,0.0,0.0
235,Aero Elite: Combat Academy,PS2,2002,Simulation,0.04,0.03,0.0,0.01
236,Aero Gauge,N64,1997,Racing,0.06,0.01,0.0,0.0
237,Afrika,PS3,2008,Adventure,0.12,0.0,0.08,0.01
238,Afro Samurai,PS3,2009,Action,0.12,0.05,0.0,0.03
239,Afro Samurai,X360,2009,Action,0.16,0.05,0.0,0.02
240,After Hours Athletes,PS3,2011,Sports,0.0,0.1,0.0,0.03
241,Again,DS,2009,Adventure,0.07,0.0,0.0,0.0
242,Agassi Tennis Generation,PS2,2003,Sports,0.04,0.03,0.0,0.01
243,Agatha Christie's The ABC Murders,PS4,2016,Adventure,0.01,0.01,0.0,0.0
244,Agatha Christie: And Then There Were None,Wii,2008,Adventure,0.06,0.01,0.0,0.01
245,Agatha Christie: Death on the Nile,PC,2008,Adventure,0.0,0.01,0.0,0.0
246,Agatha Christie: Evil Under the Sun,Wii,2008,Adventure,0.07,0.02,0.0,0.01
247,Agatha Christie: Peril at End House,PC,2009,Adventure,0.0,0.01,0.0,0.0
248,Agatha Christie: The ABC Murders,DS,2009,Adventure,0.08,0.01,0.0,0.01
249,Agatha Christie: The ABC Murders,PC,2016,Adventure,0.0,0.02,0.0,0.0
250,Age of Conan: Rise of the Godslayer,PC,2010,Role-Playing,0.0,0.02,0.0,0.0
251,Age of Empires II: The Age of Kings,PC,1999,Strategy,0.01,0.08,0.0,0.02
252,Age of Empires III,PC,2005,Strategy,0.0,0.32,0.0,0.07
253,Age of Empires III: Gold Edition,PC,2007,Strategy,0.0,0.02,0.0,0.01
254,Age of Empires III: The Asian Dynasties,PC,2007,Strategy,0.0,0.05,0.0,0.01
255,Age of Empires Online,PC,2011,Strategy,0.01,0.04,0.0,0.01
256,Age of Empires: Collector's Edition,PC,2000,Strategy,0.02,0.1,0.0,0.02
257,Age of Empires: Mythologies,DS,2008,Strategy,0.17,0.03,0.0,0.02
258,Age of Empires: The Age of Kings,DS,2006,Strategy,0.19,0.02,0.0,0.02
259,Age of Mythology,PC,2002,Strategy,0.02,0.06,0.0,0.01
260,Age of Mythology: The Titans,PC,2003,Strategy,0.01,0.02,0.0,0.0
261,Aggressive Inline,GC,2002,Sports,0.04,0.01,0.0,0.0
262,Aggressive Inline,PS2,2002,Sports,0.17,0.13,0.0,0.04
263,Aggressive Inline,XB,2002,Sports,0.05,0.01,0.0,0.0
264,Agile Warrior F-111X,PS,1995,Simulation,0.08,0.05,0.0,0.01
265,Aibou DS,DS,2009,Adventure,0.0,0.0,0.08,0.0
266,Aidyn Chronicles: The First Mage,N64,2001,Role-Playing,0.08,0.02,0.0,0.0
267,Aikatsu! 2-nin no My Princess,3DS,2013,Action,0.0,0.0,0.26,0.0
268,Aikatsu! 365 Idol Days,3DS,2014,Adventure,0.0,0.0,0.13,0.0
269,Aikatsu! Cinderella Lesson,3DS,2012,Role-Playing,0.0,0.0,0.2,0.0
270,Aikatsu! My No.1 Stage!,3DS,2015,Misc,0.0,0.0,0.07,0.0
271,Ailu de Puzzle,PSP,2012,Action,0.0,0.0,0.04,0.0
272,Air Combat,PS,1995,Simulation,0.92,0.33,0.52,0.05
273,Air Conflicts: Aces of World War II,PSP,2009,Simulation,0.05,0.0,0.0,0.0
274,Air Conflicts: Secret Wars,PC,2011,Simulation,0.0,0.02,0.0,0.01
275,Air Conflicts: Secret Wars,PS3,2011,Simulation,0.1,0.06,0.0,0.03
276,Air Conflicts: Secret Wars,X360,2011,Simulation,0.06,0.02,0.0,0.01
277,Air Raid,2600,1981,Action,0.72,0.04,0.0,0.01
278,Air Traffic Chaos,DS,2007,Simulation,0.05,0.0,0.0,0.0
279,AirForce Delta Storm,GBA,2002,Shooter,0.02,0.01,0.0,0.0
280,AirForce Delta Storm,XB,2001,Shooter,0.14,0.04,0.0,0.01
281,AirForce Delta Strike,PS2,2004,Simulation,0.05,0.04,0.0,0.01
282,Airblade,PS2,2001,Sports,0.11,0.09,0.0,0.03
283,Airborne Troops: Countdown to D-Day,PS2,2005,Shooter,0.06,0.05,0.0,0.02
284,Airline Tycoon,PC,2000,Simulation,0.0,0.01,0.0,0.0
285,Airline Tycoon 2,PC,2011,Simulation,0.0,0.04,0.0,0.01
286,Airlock,2600,1981,Action,0.36,0.02,0.0,0.0
287,Airport Simulator,PC,2011,Simulation,0.0,0.02,0.0,0.0
288,Airship Q,PSV,2015,Platform,0.0,0.0,0.03,0.0
289,Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,DS,2008,Adventure,0.0,0.0,0.06,0.0
290,Akai Ito DS,DS,2008,Adventure,0.0,0.0,0.02,0.0
291,Akai Katana Shin,X360,2011,Shooter,0.04,0.0,0.01,0.0
292,Akane Iro ni Somaru Saka Parallel,PS2,2008,Adventure,0.0,0.0,0.03,0.0
293,Akatsuki no Amaneka to Aoi Kyojin,PSP,2010,Strategy,0.0,0.0,0.01,0.0
294,Akatsuki no Goei Trinity,PS3,2012,Adventure,0.0,0.0,0.01,0.0
295,Akatsuki no Goei Trinity,PSP,2012,Adventure,0.0,0.0,0.01,0.0
296,Akiba's Trip,PSP,2011,Adventure,0.0,0.0,0.14,0.0
297,Akiba's Trip Plus,PSP,2012,Adventure,0.0,0.0,0.08,0.0
298,Akiba's Trip: Undead & Undressed,PS3,2013,Action,0.05,0.01,0.04,0.01
299,Akiba's Trip: Undead & Undressed,PS4,2014,Action,0.08,0.0,0.01,0.02
300,Akiba's Trip: Undead & Undressed,PSV,2013,Action,0.09,0.02,0.08,0.03
301,Akko ni Omakase! Brain Shock,DS,2006,Misc,0.0,0.0,0.04,0.0
302,Akuji the Heartless,PS,1998,Platform,0.07,0.04,0.0,0.01
303,Aladdin Magic Racer,Wii,2011,Racing,0.01,0.0,0.0,0.0
304,Alan Wake,PC,2012,Action,0.0,0.06,0.0,0.01
305,Alan Wake,X360,2010,Action,0.66,0.51,0.05,0.13
306,Alexi Lalas International Soccer,PS,1998,Sports,0.04,0.03,0.0,0.0
307,Alfa Romeo Racing Italiano,PS2,2005,Racing,0.01,0.01,0.0,0.0
308,Alia's Carnival! Sacrament,PSV,2015,Adventure,0.0,0.0,0.03,0.0
309,Alias,PS2,2004,Action,0.05,0.04,0.0,0.01
310,Alias,XB,2004,Action,0.04,0.01,0.0,0.0
311,Alice in Wonderland,DS,2010,Adventure,0.27,0.18,0.0,0.05
312,Alice in Wonderland,Wii,2010,Adventure,0.27,0.21,0.0,0.05
313,Alice: Madness Returns,PC,2011,Adventure,0.0,0.1,0.0,0.02
314,Alice: Madness Returns,PS3,2011,Adventure,0.22,0.25,0.04,0.09
315,Alice: Madness Returns,X360,2011,Adventure,0.27,0.15,0.04,0.04
316,Alien,2600,1981,Action,0.74,0.04,0.0,0.01
317,Alien Breed Trilogy,X360,2011,Shooter,0.0,0.02,0.0,0.0
318,Alien Hominid,GC,2004,Shooter,0.07,0.02,0.0,0.0
319,Alien Hominid,PS2,2004,Shooter,0.05,0.04,0.0,0.01
320,Alien Monster Bowling League,Wii,2009,Sports,0.09,0.0,0.0,0.01
321,Alien Resurrection,PS,2000,Shooter,0.09,0.06,0.0,0.01
